cost,ctr,like,is_ugc,duration,height,width,high_interaction,industry_parent_Apparel & Accessories,industry_parent_Appliances,industry_parent_Apps,"industry_parent_Baby, Kids & Maternity",industry_parent_Beauty & Personal Care,industry_parent_Business Services,industry_parent_E-Commerce (Non-app),industry_parent_Education,industry_parent_Financial Services,industry_parent_Food & Beverage,industry_parent_Games,industry_parent_Health,industry_parent_Home Improvement,industry_parent_Household Products,industry_parent_Life Services,industry_parent_News & Entertainment,industry_parent_Pets,industry_parent_Sports & Outdoor,industry_parent_Tech & Electronics,industry_parent_Travel,industry_parent_Vehicle & Transportation,industry_child_Action,industry_child_Audio & Video Players,industry_child_Auto Accessories,industry_child_Auto Services,industry_child_Baby Bedding,industry_child_Bags,industry_child_Beauty & Personal Care,industry_child_Business & Productivity,industry_child_Car Dealerships,industry_child_Car Rentals,industry_child_Casino,industry_child_Celebrities & Gossip,industry_child_Cell Phones,industry_child_Children's Apparel,industry_child_Cleaning Appliances,industry_child_Cleaning Supplies,industry_child_Clothing Accessories,industry_child_Computer Accessories,industry_child_Computers Components,industry_child_Construction Materials & Lighting,industry_child_Constructional Engineering,industry_child_Cooking & Recipes,industry_child_Cosmetics,industry_child_Credit Bureaus,industry_child_Credit Cards,industry_child_Cryptocurrencies,industry_child_Cuisine,industry_child_Culture & Art,industry_child_Daily Essentials,industry_child_Dating & Matchmaking Services,industry_child_Dietary Supplements,industry_child_Digital Devices,industry_child_Education,industry_child_Electric Scooters,industry_child_Energy Conservation & Environmental Protection,industry_child_Financial Services,industry_child_Food & Fresh Produce,industry_child_Furniture,industry_child_Games & Utility Software,industry_child_Gaming Devices,industry_child_Gifts & Flowers,industry_child_Glasses & Drinkware,industry_child_Haircare,industry_child_Hardware & Electrical,industry_child_Health & Fitness,industry_child_High-end Jewelry,industry_child_Higher Education,industry_child_Home Appliances,industry_child_Home Decor,industry_child_Hotels & Accommodation,industry_child_Housekeeping,industry_child_Humor,industry_child_Hyper-Casual,industry_child_Insurance,industry_child_Investment Advisory,industry_child_Kitchen & Bathroom Appliances,industry_child_Kitchen Accessories,industry_child_Large Appliances,industry_child_Large E-commerce Platforms,industry_child_Legal Services,industry_child_Life & Leisure,industry_child_Lifestyle News,industry_child_Loan Services,industry_child_Marketing & Advertising,industry_child_Medical Information,industry_child_Medical Services,industry_child_Men's Clothing,industry_child_Microfinance Companies,industry_child_Network Products,industry_child_News & Reading,industry_child_Non-academic Training (Hobbies),industry_child_Non-alcoholic Beverages,industry_child_Office Equipment & Supplies,industry_child_Online Shopping,industry_child_Ordinary Jewelry,"industry_child_Other Baby, Kids & Maternity",industry_child_Other Education,industry_child_Other News & Entertainment,industry_child_Outdoor Equipment,industry_child_Personal Care Appliances,industry_child_Pet Grooming,industry_child_Pet Household Products,industry_child_Pet Toys,industry_child_Pet Travel Accessories,industry_child_Petfood,industry_child_Photography,industry_child_Puzzle,industry_child_RPG,industry_child_Racing,industry_child_Recruitment & Job Searching,industry_child_Relationship Information,industry_child_Shooting,industry_child_Simulation,industry_child_Skincare,industry_child_Small & Medium-sized E-commerce Platforms,industry_child_Social,industry_child_Sports & Equipment,industry_child_Sports & Outdoor,industry_child_Storage Products,industry_child_Strategy,industry_child_Tours & Attractions,industry_child_Toys,industry_child_Toys for Kids,industry_child_Travel Agencies & Services,industry_child_Utilities,industry_child_Vocational Training,industry_child_Wedding Celebrations,industry_child_Wig & Hair Styling,industry_child_Women's Clothing,objective_value_App Installs,objective_value_Conversions,objective_value_Product sales,creative_theme_Educational & Explainer,creative_theme_Lifestyle & Aspirational,creative_theme_Others,creative_theme_Product-Centric,creative_theme_Promotional & Offer-Based,creative_concept_Day-in-the-life story,creative_concept_Limited-time offer,creative_concept_Others,creative_concept_Product demo,format_production_style_Others,talent_type_Actors,talent_type_Customers,talent_type_Others,talent_type_Unclear,demographic_representation_No People Featured,demographic_representation_Others,demographic_representation_Primarily Female,demographic_representation_Primarily Male,demographic_representation_Unclear,audience_focus_Others,audience_focus_Problem Aware,audience_focus_Solution Aware,audience_focus_Unclear,campaign_objective_App Promotion,campaign_objective_Awareness,campaign_objective_Others,campaign_objective_Sales,aspect_ratio
2,0.02,15725,True,60.72,1024.0,576.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.5625
2,0.02,8175,True,53.801,960.0,540.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0.5625
2,0.02,7298,True,16.949,1024.0,576.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0.5625
2,0.02,3727,True,15.36,960.0,540.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0.5625
2,0.02,4834,True,19.481,1024.0,576.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,0.5625
2,0.02,2766,False,59.372,1280.0,720.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0.5625
2,0.02,2279,False,10.589,1280.0,720.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.5625
2,0.02,21640,True,60.84,1024.0,576.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.5625
2,0.02,3116,True,8.987,1024.0,576.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,0.5625
2,0.02,10684,True,22.867,1024.0,576.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,0.5625
2,0.03,3940,True,25.288,1024.0,576.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.5625
2,0.01,12356,True,32.183,1280.0,720.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0.5625
2,0.03,1966,True,58.77,1024.0,576.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,0.5625
